country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,9750540,9714461,9689770,9671912,9480178,9481193,9465150,9463840,9468154,9480868,9498364,9504704
Bosnia and Herzegovina,3842650,3844017,3843846,3843998,3844046,3843183,3839265,3835645,3830911,3825334,3515982,3509728
Kosovo (under United Nations Security Council Resolution 1244/99),2100000,2126708,2153139,2180686,2208107,1794180,1798645,1815605,1820631,1804944,1771604,1783531
Moldova,3589936,3581110,3572703,3567512,3563695,3560430,3559541,3559497,3557634,3555159,3553056,3550852
Monaco,:,:,:,:,:,:,:,:,:,37700,38200,37550
Russia,142753551,142220968,142008838,141903979,141914509,142856536,143056383,:,143666931,:,:,:
San Marino,29999,30368,32054,31269,:,31863,33376,33562,32520,32789,33005,33196
Ukraine,46749170,46465691,46192309,45963359,45782592,45598179,45453282,45372692,45245894,42759661,42590879,42414905
Armenia,3219234,3222953,3230086,3237976,3249482,3262650,3274285,3026878,:,3010598,2998577,2986151
Azerbaijan,8436400,8532700,8629900,8896900,8997586,9111078,9235085,9356483,9477119,9593038,9705643,9809981
Georgia,4401292,4394702,4382070,4385429,4436391,4469250,4497617,:,4490498,3729500,3720400,3718200
