route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
4,FEINERS,T4ANA011,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0110,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01100,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01101,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01102,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01103,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01104,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01105,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01106,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01107,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01108,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01109,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0111,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01110,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01111,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01112,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01113,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01114,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01115,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01116,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01117,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01118,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01119,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0112,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01120,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01121,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01122,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01123,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01124,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA01125,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0113,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0114,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0115,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0116,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0117,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0118,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0119,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA012,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0120,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0121,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0122,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0123,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0124,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0125,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0126,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0127,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0128,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0129,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA013,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0130,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0131,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0132,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0133,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0134,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0135,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0136,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0137,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0138,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0139,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA014,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0140,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0141,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0142,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0143,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0144,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0145,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0146,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0147,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0148,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0149,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA015,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0150,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0151,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0152,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0153,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0154,Estació de Sant Adrià,0,T4ANA
4,FEINERS,T4ANA0155,Estació de Sant Adrià,0,T4ANA
