id,title,fuentes,bibliografia,gradoProteccion,intervencionesPermitidas,elementosAConservar,link,tipo,informe,edificio,tipo_institucion
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/223"," (Restos de celdas y otros elementos reutilizados)","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n","Excavaci&#38;oacute;n, b&#38;uacute;squeda, recuperaci&#38;oacute;n, consolidaci&#38;oacute;n y restauraci&#38;oacute;n de elementos originales.","http://www.zaragoza.es/pgou/edih/cartuja-baja-claustro-pino.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/4906",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/224"," San Pablo , 50","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada, caja de escaleras  y puerta de entrada.","http://www.zaragoza.es/pgou/edih/sanpablo050.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/5031",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/227"," Alfonso I , 23","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/alfonso23fin1.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3707",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/228"," Alfonso I , 25 - Contamina","","","Interés Arquitectónico (A) y (E)","Rehabilitaci&#38;oacute;n integral","Local comercial, fachada, caja de escaleras, etc.","http://www.zaragoza.es/pgou/edih/alfonso25fin1.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3708",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/229"," Alfonso I , 28 - Espoz y Mina , 2","","","Interés Arquitectónico (C)","","Fachada","http://www.zaragoza.es/pgou/edih/alfonso028.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3712",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/230"," Alfonso I , 29","","","Interés Arquitectónico (C)","Rehabilitaci&#38;oacute;n integral","","http://www.zaragoza.es/pgou/edih/alfonso029.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3713",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/231"," Alfonso I , 31 - Once esquinas","","","Interés Arquitectónico (A)","Rehabilitaci&#38;oacute;n integral","Fachadas, caja de escaleras, carpinter&#38;iacute;as, cerrajer&#38;iacute;as, etc.","http://www.zaragoza.es/pgou/edih/alfonso031.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3715",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/233"," Mártires , 10","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/martires10.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3839",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/234"," Florencio Jardiel , 3","","","Interés Arquitectónico (B)","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/jardiel03.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3763",""
"http://www.zaragoza.es/api/recurso/turismo/edificio-historico/235"," Mártires , 8","","","Interés Ambiental","Rehabilitaci&#38;oacute;n","Fachada y caja de escaleras.","http://www.zaragoza.es/pgou/edih/martires08.pdf","http://vocab.linkeddata.es/datosabiertos/kos/turismo/tipoEdificioHistorico/edificio"," ","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/edificio/3838",""
