CountryofResidence,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Canada,37732,3419,2808,3158,2864,2863,3665,3997,3766,2187,2276,2520,4209
U.S.A.,47211,4390,3942,4342,3296,3061,3363,4161,3278,3232,2996,3576,7574
Austria,14253,1834,2278,1580,666,469,362,1208,1041,605,770,1295,2145
Belgium,13054,895,1287,1135,995,346,635,2380,1588,1100,636,893,1164
Denmark,15203,2307,2528,1507,654,401,973,1964,608,527,878,799,2057
France,86126,9095,12742,10054,6386,3490,3012,9080,9543,4709,5313,5641,7061
Netherlands,32742,2112,2282,1774,1764,1311,1615,8741,3411,2714,2083,1889,3046
Italy,24293,2710,2567,2060,1351,898,1136,1959,3632,1407,1123,1537,3913
Norway,12007,1044,1164,1075,464,373,2006,2009,548,430,569,875,1450
Spain,15582,711,927,1148,732,676,756,1613,3215,1718,1355,1348,1383
Sweden,18423,2756,2485,1625,747,397,807,689,450,448,1387,1749,4883
Switzerland,22418,1897,2246,1643,1850,917,1135,4683,1346,1268,1617,1436,2380
U.K.,161845,13410,15212,16191,11233,7954,8580,20643,17908,11160,9970,10822,18762
Germany,115868,10375,13056,15294,6423,6265,5649,8494,10913,8292,9681,10103,11323
Russia,61846,9240,6787,7106,5699,2847,2239,2514,3332,2788,4574,7360,7360
Ukraine,23853,3312,1827,1502,1328,1072,823,1353,1677,1933,2549,2876,3601
Czech Republic,15278,1748,2479,2036,1167,396,527,957,759,915,752,1565,1977
Poland,13245,1808,1852,1265,832,582,457,848,714,788,585,1859,1655
South Africa,4717,285,267,384,423,212,308,370,381,379,317,360,1031
Saudi Arabia,36617,3055,1100,3903,1278,2213,2321,7092,5145,6361,1694,1263,1192
UAE,10576,529,317,795,734,488,429,1803,2186,844,556,682,1213
Isreal,7790,669,687,527,443,297,319,809,841,1648,375,353,822
Kuwait,6522,992,430,324,379,341,328,825,1206,802,358,223,314
Oman,14216,1596,760,538,643,755,763,2997,3228,848,743,665,680
China,214783,11735,27425,13975,13790,12173,15487,25120,24734,20502,17169,16830,15843
Indonesia,23305,4809,3486,3286,2109,1589,1558,953,429,981,639,522,2944
Japan,39358,3140,4541,3393,2519,2319,2450,2797,4814,3698,2770,2514,4403
Malaysia,22772,1510,1564,1765,1395,2147,2184,1766,1740,1954,1567,2285,2895
Philippines,11305,774,761,948,934,1072,1001,901,924,1089,846,1013,1042
Singapore,15846,903,1225,1166,1053,1414,1408,1038,1310,1130,1144,1677,2378
Thailand,10112,719,609,827,922,1282,567,612,923,607,1378,791,875
South Korea,14373,1856,1159,1080,735,840,941,1447,1272,1000,1106,1542,1395
India,316247,22944,19999,21838,23048,31764,25860,24681,23540,27233,30574,29329,35437
Maldives,90617,6095,5354,8180,5859,6705,6957,6032,7036,8216,5718,8190,16275
Pakistan,32300,3216,2098,2618,2759,2586,2825,3445,2807,3050,2381,2030,2485
Bangladesh,13358,903,1207,1246,829,1013,890,1412,970,1305,1240,1075,1268
Australia,63554,5930,3472,4466,4717,3397,5152,5122,5268,5367,3768,4641,12254
New Zealand,7762,616,405,563,574,474,622,785,580,675,494,595,1379
