CountryofResidence,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Canada,"33,282","3,070","2,609","2,641","2,417","2,296","3,759","3,741","3,317","1,644","1,931","1,990","3,867"
USA,"39,371","3,839","2,880","3,401","3,097","2,449","3,130","3,493","2,648","2,191","3,275","2,951","6,017"
Austria,"12,664","1,652","2,086","1,482",893,395,348,"1,034",758,570,605,"1,018","1,823"
Belgium,"9,915",723,"1,027",817,867,286,538,"1,866",968,684,479,629,"1,031"
Denmark,"11,239","1,700","1,872",821,785,193,633,"1,679",461,310,566,467,"1,752"
France,"78,883","8,430","10,617","9,266","5,970","2,875","2,882","9,095","8,746","3,897","4,523","5,448","7,134"
Germany,"102,977","9,211","11,305","12,448","8,137","4,423","4,328","7,921","10,364","6,996","7,966","9,049","10,289"
Netherlands,"24,196","1,958","2,066","1,540","1,442",973,"1,068","5,582","2,490","1,742","1,509","1,498","2,328"
Italy,"21,116","2,497","2,177","1,592","1,511",732,"1,068","1,673","3,043","1,125","1,060","1,519","3,119"
Norway,"9,237",739,811,474,459,257,"1,509","1,800",403,362,471,679,"1,273"
Spain,"11,914",604,584,564,912,506,564,"1,276","2,608","1,075","1,210",968,"1,043"
Sweden,"14,259","2,242","1,999","1,073",669,283,653,602,343,373,858,"1,142","4,022"
Switzerland,"20,097","1,827","2,244","1,419","1,742",711,817,"4,334","1,030",893,"1,372","1,353","2,355"
UK,"144,168","12,896","14,316","11,823","12,380","6,918","7,790","16,692","15,532","8,983","10,112","10,730","15,996"
Russia,"69,718","10,700","9,723","8,948","4,976","2,308","2,077","2,649","3,246","3,018","5,512","7,282","9,279"
Ukraine,"29,882","6,424",4905,"3,311","1,927",888,701,"1,029","1,109","1,350","2,181","2,654","3,403"
South Africa,"4,155",302,259,299,416,260,267,363,282,226,381,240,860
China,"128,166","10,779","10,319","7,700","8,005","7,082","8,345","15,178","14,274","13,312","11,894","10,878","10,400"
Indonesia,"29,558","4,729","4,654","3,223","2,680","2,204","2,674","1,063",743,863,968,573,"5,184"
Japan,"39,136","2,859","3,350","3,800","2,368","2,281","2,666","3,203","5,233","3,943","2,874","2,518","4,041"
Malaysia,"23,178","2,059","1,756","2,301","1,322","1,735","2,807","1,684","1,542","1,509","1,822","2,018","2,623"
Philippines,"11,160",809,708,951,882,"1,113","1,220",983,949,796,867,889,993
Singapore,"15,762","1,191",946,"1,151","1,075","1,072","1,609","1,023","1,126","1,019","1,241","1,638","2,671"
Thailand,"9,260",668,"1,019",771,766,851,703,590,906,441,926,764,855
Taiwan,"5,193",554,763,414,217,235,625,512,447,278,372,310,466
South Korea,"13,412","1,807","1,263","1,033",761,720,889,"1,247","1,109",770,"1,221","1,267","1,325"
India,"242,734","17,886","17,534","18,734","17,192","22,981","19,911","19,277","17,912","19,244","26,148","19,762","26,153"
Maldives,"86,359","7,024","5,549","7,419","6,860","6,039","7,528","4,892","5,891","6,276","6,460","8,329","14,092"
Pakistan,"25,424","2,351","1,766","2,500","2,764","2,813","2,213","1,227","1,699","1,772","1,725","1,819","2,775"
Australia,"57,940","5,535","3,368","3,564","5,232","2,840","4,430","5,124","4,371","4,421","3,794","4,423","10,838"
New Zealand,"6,880",659,352,423,622,427,473,657,656,474,487,497,"1,153"
