CountryofResidence,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Canada,"30,926","2,724","2,343","2,512","2,088","2,406","3,400","3,608","2,949","1,490","1,954","1,807","3,645"
USA,"34,690","2,920","2,892","3,260","2,323","2,084","2,769","2,855","2,780","1,789","2,761","2,632","5,625"
Austria,"11,300","1,640","1,890","1,197",632,314,258,899,830,482,579,989,"1,590"
Belgium,"9,138",652,959,917,536,293,494,"1,682",889,688,502,640,886
Denmark,"9,845","1,380","1,527","1,067",329,225,840,"1,363",496,265,545,422,"1,386"
France,"64,388","6,312","8,253","7,248","4,170","2,318","2,298","7,093","7,607","3,350","4,191","4,999","6,549"
Netherlands,"22,281","2,015","1,825","1,497","1,277",816,"1,372","4,884","2,184","1,609","1,482","1,276","2,044"
Italy,"17,982","2,196","1,655","1,484",948,520,830,"1,513","2,833","1,059","1,036","1,318","2,590"
Norway,"8,573",633,583,577,314,215,"1,530","1,882",489,427,449,530,944
Spain,"8,183",316,373,679,387,280,368,953,"1,693",762,828,793,751
Sweden,"12,597","1,847","1,651","1,034",474,240,638,734,326,394,867,968,"3,424"
Switzerland,"19,141","1,708","2,054","1,684","1,371",690,803,"4,158","1,091","1,030","1,169","1,345","2,038"
UK,"137,416","11,350","13,604","13,590","8,642","6,567","7,642","16,424","15,519","9,356","9,850","9,663","15,209"
Germany,"85,470","7,893","9,828","10,384","5,099","3,929","3,407","7,027","8,012","6,070","6,436","7,715","9,670"
Russia,"51,235","5,586","5,065","4,826","3,490","1,693","1,501","1,892","2,379","3,285","5,302","7,575","8,641"
Ukraine,"38,607","5,309","4,656","3,632","2,796","1,939",792,"1,244","1,464","2,542","4,584","4,627","5,022"
Czech Republic,"8,881",994,"1,581","1,148",629,214,230,451,368,331,533,"1,086","1,316"
Poland,"9,688","1,269","1,571","1,138",766,366,356,347,461,348,448,"1,263","1,355"
South Africa,"3,366",219,239,296,231,182,212,278,265,211,305,248,680
Saudi Arabia,"23,753","2,274",652,"1,346",893,"1,141","5,253",800,"5,850","1,199","2,642",897,806
UAE,"8,471",252,170,425,633,265,"1,074",234,"2,617",441,"1,080",458,822
Isreal,"8,545",756,899,"1,084",338,221,226,776,"1,107","1,618",301,559,660
Kuwait,"7,427",613,818,427,430,315,541,257,"1,657",705,"1,076",274,314
Oman,"7,634",444,347,336,354,434,"2,259",272,"1,308",501,515,488,376
China,"54,288","3,328","6,296","3,018","2,959","2,715","3,707","5,576","5,951","5,804","5,388","4,828","4,718"
Indonesia,"17,295","1,153","2,486","2,989","1,245","1,179","2,348","1,582",978,792,580,631,"1,332"
Japan,"31,505","1,872","3,142","2,472","1,963","1,488","1,866","2,226","4,893","3,408","2,539","2,213","3,423"
Malaysia,"19,181","1,258","2,418","1,516",965,"1,732","2,169","1,062","1,520","1,233","1,248","1,875","2,185"
Philippines,"14,616","1,613","1,098",967,"1,389","2,191","1,805","1,183",907,814,948,876,825
Singapore,"15,546",997,"1,269","1,166",909,"1,067","1,644","1,114","1,511","1,058",975,"1,357","2,479"
Thailand,"9,608",742,845,876,687,"1,131",597,717,"1,200",552,738,612,911
South Korea,"12,207","1,429",576,"1,349",814,705,745,"1,149","1,202",699,"1,161","1,224","1,154"
India,"208,795","16,938","14,429","15,281","12,657","17,834","15,297","14,783","18,999","18,389","21,833","19,796","22,559"
Maldives,"79,474","5,185","4,569","7,304","6,227","7,487","8,800","3,138","4,529","4,462","6,486","7,674","13,613"
Pakistan,"25,336","1,709","1,330","2,134","2,025","1,919","2,393","2,062","2,259","2,154","2,574","2,489","2,288"
Bangladesh,"10,037",700,658,856,734,732,612,692,"1,155",793,"1,075",991,"1,039"
Australia,"54,252","4,860","3,029","4,209","3,731","2,665","4,064","4,724","4,454","4,404","3,312","4,012","10,788"
New Zealand,"6,174",525,289,448,470,310,456,610,494,565,373,542,"1,092"
